-6.21,21.693,-30.015,-8.3217,-5,4.14,-12.776,31.953,19.178,-6.21,-5.35,5.67,10.55,11.46,7.79,2.9,4.41,-9.93,-7.79,-30.42
-6.12,21.693,-30.015,-8.3217,-5,4.08,-12.776,31.953,19.178,-6.12,-5.35,5.71,10.55,11.46,7.79,2.9,4.37,-9.93,-7.79,-30.42
-6.03,21.693,-30.015,-8.3217,-5,4.02,-12.776,31.953,19.178,-6.03,-5.35,5.75,10.55,11.46,7.79,2.9,4.33,-9.93,-7.79,-30.42
-5.94,21.693,-30.015,-8.3217,-5,3.96,-12.776,31.953,19.178,-5.94,-5.35,5.79,10.55,11.46,7.79,2.9,4.29,-9.93,-7.79,-30.42
-5.85,21.693,-30.015,-8.3217,-5,3.9,-12.776,31.953,19.178,-5.85,-5.35,5.83,10.55,11.46,7.79,2.9,4.25,-9.93,-7.79,-30.42
-5.76,21.693,-30.015,-8.3217,-5,3.84,-12.776,31.953,19.178,-5.76,-5.35,5.87,10.55,11.46,7.79,2.9,4.21,-9.93,-7.79,-30.42
-5.67,21.693,-30.015,-8.3217,-5,3.78,-12.776,31.953,19.178,-5.67,-5.35,5.91,10.55,11.46,7.79,2.9,4.17,-9.93,-7.79,-30.42
-5.58,21.693,-30.015,-8.3217,-5,3.72,-12.776,31.953,19.178,-5.58,-5.35,5.95,10.55,11.46,7.79,2.9,4.13,-9.93,-7.79,-30.42
-5.49,21.693,-30.015,-8.3217,-5,3.66,-12.776,31.953,19.178,-5.49,-5.35,5.99,10.55,11.46,7.79,2.9,4.09,-9.93,-7.79,-30.42
-5.4,21.693,-30.015,-8.3217,-5,3.6,-12.776,31.953,19.178,-5.4,-5.35,6.03,10.55,11.46,7.79,2.9,4.05,-9.93,-7.79,-30.42
-5.31,21.693,-30.015,-8.3217,-5,3.54,-12.776,31.953,19.178,-5.31,-5.35,6.07,10.55,11.46,7.79,2.9,4.01,-9.93,-7.79,-30.42
-5.22,21.693,-30.015,-8.3217,-5,3.48,-12.776,31.953,19.178,-5.22,-5.35,6.11,10.55,11.46,7.79,2.9,3.97,-9.93,-7.79,-30.42
-5.13,21.693,-30.015,-8.3217,-5,3.42,-12.776,31.953,19.178,-5.13,-5.35,6.15,10.55,11.46,7.79,2.9,3.93,-9.93,-7.79,-30.42
-5.04,21.693,-30.015,-8.3217,-5,3.36,-12.776,31.953,19.178,-5.04,-5.35,6.19,10.55,11.46,7.79,2.9,3.89,-9.93,-7.79,-30.42
-4.95,21.693,-30.015,-8.3217,-4.95,3.3,-12.776,31.953,19.178,-4.95,-5.35,6.23,10.55,11.46,7.79,2.9,3.85,-9.93,-7.79,-30.42
-4.86,21.693,-30.015,-8.3217,-4.86,3.24,-12.776,31.953,19.178,-4.86,-5.35,6.27,10.55,11.46,7.79,2.9,3.81,-9.93,-7.79,-30.42
-4.77,21.693,-30.015,-8.3217,-4.77,3.18,-12.776,31.953,19.178,-4.77,-5.35,6.31,10.55,11.46,7.79,2.9,3.77,-9.93,-7.79,-30.42
-4.68,21.693,-30.015,-8.3217,-4.68,3.12,-12.776,31.953,19.178,-4.68,-5.35,6.35,10.55,11.46,7.79,2.9,3.73,-9.93,-7.79,-30.42
-4.59,21.693,-30.015,-8.3217,-4.59,3.06,-12.776,31.953,19.178,-4.59,-5.35,6.39,10.55,11.46,7.79,2.9,3.69,-9.93,-7.79,-30.42
-4.5,21.693,-30.015,-8.3217,-4.5,3,-12.776,31.953,19.178,-4.5,-5.35,6.43,10.55,11.46,7.79,2.9,3.65,-9.93,-7.79,-30.42
-4.41,21.693,-30.015,-8.3217,-4.41,2.94,-12.776,31.953,19.178,-4.41,-5.35,6.47,10.55,11.46,7.79,2.9,3.61,-9.93,-7.79,-30.42
-4.32,21.693,-30.015,-8.3217,-4.32,2.88,-12.776,31.953,19.178,-4.32,-5.35,6.51,10.55,11.46,7.79,2.9,3.57,-9.93,-7.79,-30.42
-4.23,21.693,-30.015,-8.3217,-4.23,2.82,-12.776,31.953,19.178,-4.23,-5.35,6.55,10.55,11.46,7.79,2.9,3.53,-9.93,-7.79,-30.42
-4.14,21.693,-30.015,-8.3217,-4.14,2.76,-12.776,31.953,19.178,-4.14,-5.35,6.59,10.55,11.46,7.79,2.9,3.49,-9.93,-7.79,-30.42
